name,ein,city,state,website,phone,formatted_address,place_id
LILLY ENDOWMENT INC,350868122,INDIANAPOLIS,IN,http://www.lillyendowment.org/,(317) 924-5471,2801 N Meridian St, Indianapolis, IN 46208, USA,ChIJ1UM8ED1Ra4gRjyGJRmyZLoE
WADHWANI OPERATING FOUNDATION,383840804,LOS ALTOS,CA,http://wadhwani-foundation.org/contact#address,,4 Main St #120, Los Altos, CA 94022, USA,ChIJ1VQaKeq6j4ARGLr8GIfbaqc
GEORGE GUND FOUNDATION,346519769,CLEVELAND,OH,https://gundfoundation.org/,(216) 241-3114,1660 W 2nd St #900, Cleveland, OH 44113, USA,ChIJP-D5bX_wMIgReazlEc7zrIQ
THE@MACMILLAN FAMILY FOUNDATION INC,481286405,NEW YORK,NY,https://milanafamilyfoundation.org/contact/,(800) 535-9096,600 Broadhollow Rd, Melville, NY 11747, USA,ChIJVVWlHVIq6IkRhXbFN4gx38g
AMON G CARTER FOUNDATION,756000331,FORT WORTH,TX,http://www.agcf.org/,(817) 332-2783,201 Main St #1945, Fort Worth, TX 76102, USA,ChIJ3ZvZ7EBxToYRuxaXPljAY6E
ROBERT M BEREN FOUNDATION INC,480990309,WICHITA,KS,https://jsbwjcc.org/,(316) 685-1340,1850 N Woodlawn Blvd, Wichita, KS 67208, USA,ChIJq6uVPCX9uocRFb8XyG95KBs
COLORADO TRUST,840994055,DENVER,CO,https://www.coloradotrust.org/,(303) 837-1200,3660 Blake St Ste 800, Denver, CO 80205, USA,ChIJpw37qHl5bIcRfF4bI8H-frU
TRUIST FOUNDATION INC,237336418,ORLANDO,FL,https://www.truist.com/branch/fl/orlando/32819/7677-dr-phillips-blvd,(407) 867-6620,7677 Dr Phillips Blvd, Orlando, FL 32819, USA,ChIJ0YbUMad_54gRwf7sX_qrI9I
NORTHWEST AREA FOUNDATION,410719221,SAINT PAUL,MN,http://www.nwaf.org/,(651) 224-9635,60 Plato Blvd #400, St Paul, MN 55107, USA,ChIJPYbAHznV94cRH_pbtOAmWW8
ENDEAVOR FOUNDATION INC,136147952,NEW YORK,NY,https://endeavor.org/,,28 Liberty St, New York, NY 10005, USA,ChIJ7ZjZzaNZwokRxUhWs9zbTHg
THE MORNINGSTAR PHILANTHROPIC FOUNDATION,521270464,BETHESDA,MD,https://www.hjf.org/,(240) 694-2000,6720A Rockledge Dr, Bethesda, MD 20817, USA,ChIJadNYWnDMt4kR56fwmxhCpXY
ENTERPRISE HOLDINGS FOUNDATION,431262762,SAINT LOUIS,MO,https://www.enterprisemobility.com/,(855) 266-9565,600 Corporate Park Dr, St. Louis, MO 63105, USA,ChIJEwHX6y_L2IcRa6oTSB7DyTs
PULTE FAMILY CHARITABLE FOUNDATION INC,382923581,BOCA RATON,FL,https://www.pultefamilyfoundation.org/contact-us/,(833) 359-9448,220 S Dixie Hwy, Boca Raton, FL 33432, USA,ChIJ__9jRgXi2IgRR4v86YiZjfA
CHARLES AND HELEN SCHWAB FOUNDATION,943374170,SAN FRANCISCO,CA,,(415) 795-4920,201 Mission St, San Francisco, CA 94105, USA,ChIJVVXlkWSAhYAR9s1xyWy3XX0
MARINA KELLEN FRENCH FOUNDATION INC,922711044,NEW YORK,NY,https://frenchamerican.org/we-are-moving/,(212) 221-7209,28 W 44th St Ste 912, New York, NY 10036, USA,ChIJhYSOuWtZwokR2CqdEoSF9u0
MULVA FAMILY FOUNDATION,203221183,AUSTIN,TX,https://athletics.snc.edu/facilities/mulva-family-fitness-sports-center/8,(920) 403-3031,601 3rd St, De Pere, WI 54115, USA,ChIJRQnSG2v8AogRw-vNhk8nQJY
1111 FOUNDATION,461463656,HIGHLAND PARK,IL,http://www.hpcfil.org/,(847) 433-4100,833 Central Ave Unit 398, Highland Park, IL 60035, USA,ChIJmaAOKb3BD4gR019u0adkvM4
COMMUNITY FACILITY PUBLIC PRIVATE PARTNERSHIPS,205591574,MINNETONKA,MN,http://www.mcsmn.com/,(952) 658-8995,7900 Excelsior Blvd #200, Hopkins, MN 55343, USA,ChIJH3MhSV8g9ocRmHc4qRb5fv0
THE BROAD,273032164,LOS ANGELES,CA,https://www.thebroad.org/,(213) 232-6200,221 S Grand Ave, Los Angeles, CA 90012, USA,ChIJXaYsEk3GwoARvx7RKBUE8Zg
FMH FOUNDATION,272504803,MIDLAND,TX,http://fmhfoundation.org/contact-us/,(432) 682-7924,6 Desta Dr, Midland, TX 79705, USA,ChIJq6qqg7zY-4YRGr-3JyRNTUg
STEVEN & ALEXANDRA COHEN FOUNDATION INC,061627638,STAMFORD,CT,https://www.samlcohenfoundation.org/,(207) 871-5600,22 Free St, Portland, ME 04101, USA,ChIJ87m2oWmZskwRsthyzyDVTdA
THE COCA-COLA FOUNDATION INC,581574705,ATLANTA,GA,https://www.worldofcoca-cola.com/,(404) 676-5151,121 Baker St NW, Atlanta, GA 30313, USA,ChIJ8yjI7H4E9YgRyacfAZqyAUQ
THE THOMPSON FAMILY FOUNDATION INC,061194385,NEW YORK,NY,http://www.thompsonhealth.com/,(585) 396-6155,350 Parrish St, Canandaigua, NY 14424, USA,ChIJ-2tL6yYk0YkRpwHltMBsFPI
ZOMA FOUNDATION,814630003,DENVER,CO,https://www.wfco.org/(,,(303) 285-2960,Chambers Center for the Advancement of Women, 1901 E Asbury Ave, Denver, CO 80210, USA,ChIJJcdqf0B-bIcRYEvSBJiFbT0
VALHALLA FOUNDATION,200478828,WOODSIDE,CA,http://www.valhalla.org/,,175 Fox Hollow Rd, Woodside, CA 94062, USA,ChIJVVXFth6kj4ARQPaAtDZB7eA
SID W RICHARDSON FOUNDATION,756015828,FORT WORTH,TX,http://www.sidrichardson.org/,(817) 336-0494,309 Main St, Fort Worth, TX 76102, USA,ChIJhQoD7kBxToYRYZ4xN909gYM
ROBERT RAUSCHENBERG FOUNDATION,650200989,NEW YORK,NY,https://www.rauschenbergfoundation.org/,,381 Lafayette St, New York, NY 10003, USA,ChIJCx5oYwBZwokRjW9XaI2nCR8
ELBRIDGE STUART FOUNDATION,200882784,SAN FRANCISCO,CA,http://www.stuartfoundation.org/,(415) 393-1551,500 Washington St, San Francisco, CA 94111, USA,ChIJb3G2aGGAhYARS-AZ0lGNejE
LEGACY ENHANCEMENT,473843447,HOUSTON,TX,http://www.legacyenhancement.org/about-us/,(866) 792-4388,1775 Saint James Place Ste 103, Houston, TX 77056, USA,ChIJVVXFkZPDQIYR350tEAu_Kb8
GEORGE AND BEVERLY RAWLINGS ENDOWMENT FOUNDATION INC,843892154,LAGRANGE,KY,https://www.machinify.com/,(502) 587-1279,1 Eden Pkwy, La Grange, KY 40031, USA,ChIJGeaeWdmRaYgRIIbivhW3LXY
W P CAREY FOUNDATION,133597510,NEW YORK,NY,https://wpcarey.asu.edu/,(480) 965-5187,P.O. Box 873406, 300 E Lemon St, Tempe, AZ 85281, USA,ChIJSTT2VMMIK4cR35mhpl1J8_M
THE UNIVERSITY FINANCING FOUNDATION INC,581505902,ATLANTA,GA,http://www.tuff.org/,(404) 214-9200,75 5th St NW #1050, Atlanta, GA 30332, USA,ChIJ82Jg3WEE9YgRVGY7CMiyyFY
THE HEARTHLAND FOUNDATION,954016320,LOS ANGELES,CA,,(310) 312-5557,11400 W Olympic Blvd #550, Los Angeles, CA 90064, USA,ChIJn2-KAAu7woARFg0sJY8ceK8
BETH AND RAVENEL CURRY FOUNDATION,237411083,ERIE,PA,http://www.eriecommunityfoundation.org/,(814) 454-0843,459 W 6th St, Erie, PA 16507, USA,ChIJvSdEBP9_LYgRqu-68M2OERs
HARRY-ANNA INVESTMENT FUND INC,592825890,UMATILLA,FL,http://floridaelks.org/,(800) 523-1673,24175 SE Hwy 450, Umatilla, FL 32784, USA,ChIJx8E0pG-654gR_HEsZtAfwrE
CHARLES K BLANDIN FOUNDATION,416038619,GRAND RAPIDS,MN,http://www.blandinfoundation.org/,(218) 326-0523,100 N Pokegama Ave, Grand Rapids, MN 55744, USA,ChIJuZeL-v2PsFIRLa99aawW6WI
TOWN BRANCH FOUNDATION,823575662,BENTONVILLE,AR,http://www.waltonfamilyfoundation.org/,(479) 464-1570,215 NW A St, Bentonville, AR 72712, USA,ChIJGeIbypkayYcReCsRUO1xEoQ
MARTY & DOROTHY SILVERMAN FOUNDATION,222777449,NEW YORK,NY,http://www.mattsfoundation.org/contact/,(800) 562-8336,324 S Beverly Dr, Beverly Hills, CA 90212, USA,ChIJf_UiYPu7woAR6bgx2RhD1vo
THE EZRAH CHARITABLE TRUST,812608588,CHARLOTTE,NC,http://www.fftc.org/,(704) 973-4500,220 N Tryon St, Charlotte, NC 28202, USA,ChIJcRYfay-gVogR2cfx9X4i9PE
CARSON FAM CHARITABLE TR,136957038,NEW YORK,NY,http://carlsonfamilyfoundation.org/,(952) 404-5614,701 Carlson Pkwy Ste 1250, Minnetonka, MN 55305, USA,ChIJ33z2AONSs1IRqT21RlyrTMU
IOWA WEST FOUNDATION,421391990,COUNCIL BLFS,IA,http://www.iowawestfoundation.org/,(712) 309-3000,4201 Rivers Edge Pkwy Ste 400, Council Bluffs, IA 51501, USA,ChIJVVVVVfqEk4cRLhYcN7wF48M
THE POWELL FOUNDATION,746104592,HOUSTON,TX,http://www.powellfoundation.org/,(713) 523-7557,2001 Kirby Dr #1011, Houston, TX 77019, USA,ChIJ6e7gzL_AQIYR9eHmS61Qyc8
LEON LEVY FOUNDATION,306085406,NEW YORK,NY,http://www.leonlevinefoundation.org/,(704) 817-6500,4600 Park Rd #500, Charlotte, NC 28209, USA,ChIJtR5FnmmeVogRWinnIErOKvE
MOORE CHARITABLE FOUNDATION INC,133741954,NEW YORK,NY,http://moorecharitable.org/,(212) 782-7324,11 Times Sq 37th Fl, New York, NY 10036, USA,ChIJMSVmzfhYwokRr7byQ9vCBB0
EVELYN AND WALTER HAAS JR FUND,946068932,SAN FRANCISCO,CA,http://www.haasjr.org/,(415) 856-1400,450 Sansome St 16th Floor, San Francisco, CA 94111, USA,ChIJ62yCEWKAhYARjmIgrNDW22U
THE NATHAN CUMMINGS FOUNDATION INC,237093201,NEW YORK,NY,http://www.nathancummings.org/,(212) 787-7300,120 Wall St 26th fl, New York, NY 10005, USA,ChIJc-WFGLNZwokR40jVom3HgZA
WILLIAM N PENNINGTON FOUNDATION,371904998,RENO,NV,https://www.renown.org/locations/william-n-pennington-cancer-institute/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,(775) 982-4000,1155 Mill St, Reno, NV 89502, USA,ChIJoZyMTKlAmYARKkgnMuQsKTo
PRITZKER FOUNDATION,366058062,CHICAGO,IL,http://ptfound.org/,,444 W Lake St Ste 3400, Chicago, IL 60606, USA,ChIJQ_2_EsgsDogR3sx5EUTN0GQ
TEMPLE HOYNE BUELL FOUNDATION,846037604,DENVER,CO,http://www.buellfoundation.org/,(303) 744-1688,950 S Cherry St, Denver, CO 80246, USA,ChIJa043fml-bIcRnCsdHab8qQ0
STEPHEN AND RENEE BISCIOTTI FOUNDATION INC,522352678,BALTIMORE,MD,https://www.itinerisbaltimore.org/,(443) 275-1100,2050 Rockrose Ave Suite A, Baltimore, MD 21211, USA,ChIJg9NnDEEQyIkRRIFv9acx3uc
H N AND FRANCES C BERGER FOUNDATION,521757452,PALM DESERT,CA,http://www.hnberger.org/,(760) 341-5293,42600 Cook St, Palm Desert, CA 92211, USA,ChIJRXPppnL92oARqxqXeerwRNE
KEMPER AND LEILA WILLIAMS FOUNDATION,237336090,NEW ORLEANS,LA,https://www.hnoc.org/,(504) 523-4662,520 Royal St, New Orleans, LA 70130, USA,ChIJc4kcBA6mIIYRbWz3FiNQ8fQ
CHARLES F KETTERING FOUNDATION,310549056,DAYTON,OH,https://kettering.org/,(800) 221-3657,200 Commons Rd, Dayton, OH 45459, USA,ChIJV-NHfxSPQIgRJ1CCKqpW4mA
YAWKEY FOUNDATION II,042768239,WESTWOOD,MA,https://yawkeyfoundation.org/,(781) 329-7470,100 Lowder Brook Dr Ste 2800, Westwood, MA 02090, USA,ChIJVe1TNvp_44kRxUMh16MifmY
RUSSELL SAGE FOUNDATION,131635303,NEW YORK,NY,http://www.russellsage.org/,(212) 750-6000,112 E 64th St, New York, NY 10065, USA,ChIJhXce5-5YwokRJCiKaA1qKq8
PETER KIEWIT FOUNDATION,476098282,OMAHA,NE,http://peterkiewitfoundation.org/,(402) 344-7890,1125 S 103rd St Ste 500, Omaha, NE 68124, USA,ChIJIU7JEj-Nk4cREnGMdjJmy9s
THE ARTHUR M BLANK FAMILY FOUNDATION,383983213,ATLANTA,GA,http://www.blankfoundation.org/,(470) 341-2100,3223 Howell Mill Rd NW, Atlanta, GA 30327, USA,ChIJ1ZFABloF9YgRvJkrhH7Kn4I
SORENSON LEGACY FOUNDATION,453240491,MIDVALE,UT,http://sorensonlegacyfoundation.org/,(801) 461-9700,6900 S 900 E Ste 230, Midvale, UT 84047, USA,ChIJGX43SNKJUocRPLoVQNFRr20
JOY UNSPEAKABLE FOUNDATION,934603637,CHARLESTON,SC,https://kidsfindjoy.org/,(385) 260-7798,55 N Main St Ste c, Bountiful, UT 84010, USA,ChIJfVa8UPP3UocRw0PjccR9I_Q
MUSK FOUNDATION,852133087,AUSTIN,TX,https://tmf-fdn.org/,(512) 331-9971,11709 Boulder Ln #100, Austin, TX 78726, USA,ChIJAz_73VkyW4YRpRk1akMoQ5w
JAMES S MCDONNELL FOUNDATION,542074788,SAINT LOUIS,MO,https://www.jsmf.org/,(314) 721-1532,4565 McRee Ave #120, St. Louis, MO 63110, USA,ChIJZevFeiPL2IcRjZr-0G1x374
RAY AND KAY ECKSTEIN CHARITABLE TRUST,396786592,PADUCAH,KY,,(270) 534-8930,4965 Village Square Dr, Paducah, KY 42001, USA,ChIJo7fX0kkaeogRje6o2SmYUJY
THE CHAMPLIN FOUNDATION,510165988,WILMINGTON,DE,https://champlinfoundation.org/,(401) 944-9200,2000 Chapel View Blvd, Cranston, RI 02920, USA,ChIJO9-j4sNO5IkRadJ3f1zCBg4
WALLIS ANNENBERG LEGACY FOUNDATION,452964080,PLAYA VISTA,CA,http://www.annenbergpetspace.org/,(424) 384-1801,12005 Bluff Creek Dr, Playa Vista, CA 90094, USA,ChIJp-VsGKmwwoAR_PgstrY5Img
AINSLIE FOUNDATION,814732333,DALLAS,TX,http://www.afildfw.org/,(214) 351-0798,2826 Storey Ln, Dallas, TX 75220, USA,ChIJ5T1sa6edToYR1EU4Yv8gcgE
W K KELLOGG FOUNDATION,381359264,BATTLE CREEK,MI,http://www.wkkf.org/,(269) 968-1611,1 E Michigan Ave, Battle Creek, MI 49017, USA,ChIJO-NLYo7xF4gReYSTbZ4Dgu4
CLARK FOUNDATION,135616528,COOPERSTOWN,NY,https://clarkscholarship.org/,(607) 547-9927,19 Main St, Cooperstown, NY 13326, USA,ChIJcQ-bbCcH3IkRAzAUi5z7o4o
VALLEY BAPTIST LEGACY FOUNDATION,741936869,HARLINGEN,TX,http://www.vblf.org/,(956) 335-3040,1267 Stuart Place Rd, Harlingen, TX 78552, USA,ChIJOeq4H4p_b4YRcB7mtgHdiRU
RALPH M PARSONS FOUNDATION,956085895,LOS ANGELES,CA,http://www.rmpf.org/,(213) 362-7600,601 S Figueroa St #5000, Los Angeles, CA 90017, USA,ChIJD_NJIrDHwoARIt96zAQrxQY
TANSY CHARITABLE FOUNDATION,276377439,NEW YORK,NY,http://www.philanthropynewyork.org/,(212) 714-0699,320 E 43rd St, New York, NY 10017, USA,ChIJZ5cLz05ZwokRd4Ffw75i0kk
BLUE CROSS AND BLUE SHIELD OF FLORIDA FOUNDATION INC,593707820,JACKSONVILLE,FL,http://www.floridablue.com/,(800) 352-2583,4800 Deerwood Campus Pkwy, Jacksonville, FL 32246, USA,ChIJXW1whZ3K5YgR-TFZjdHbx_E
CLAUDE WORTHINGTON BENEDUM FOUNDATION,251086799,PITTSBURGH,PA,https://benedum.org/,(412) 288-0360,223 Fourth Ave #1400, Pittsburgh, PA 15222, USA,ChIJdYQksVbxNIgRCNwKFKd7o6I
T L L TEMPLE FOUNDATION,756037406,LUFKIN,TX,http://www.tlltemple.foundation/,(936) 634-3900,204 Champions Dr, Lufkin, TX 75901, USA,ChIJkXe9h_U9OIYRVLqFVUJjQhs
EL POMAR FOUNDATION,846002373,COLORADO SPGS,CO,http://www.elpomar.org/,(719) 633-7733,10 Lake Cir, Colorado Springs, CO 80906, USA,ChIJ74cA6E1bE4cRvaHKb4p0_fk
CLARK CHARITABLE FOUNDATION INC,521512330,BETHESDA,MD,,(301) 654-3607,7501 Wisconsin Ave Ste. 710, Bethesda, MD 20814, USA,ChIJtzpCTnvJt4kRtbole0xo2y8
PRICE PHILANTHROPIES FOUNDATION,465129465,LA JOLLA,CA,https://pricephilanthropies.org/,(619) 795-2000,4305 University Ave Ste 600, San Diego, CA 92105, USA,ChIJt-ifWRVU2YARSa23DHPQ9ZE
MATHWORKS FOUNDATION INC,831665375,NATICK,MA,http://www.mathworks.com/,(508) 647-7000,1 Apple Hill Dr, Natick, MA 01760, USA,ChIJDy_TU0SG44kR_IGwvKSFYQs
J WILLARD AND ALICE S MARRIOTT FOUNDATION,526068678,BETHESDA,MD,http://marriottfoundation.org/,,10400 Fernwood Rd, Bethesda, MD 20817, USA,ChIJAQAA7XnMt4kRq8nST_7nKGM
ROB AND MELANI WALTON FOUNDATION,474259772,BENTONVILLE,AR,http://www.waltonfamilyfoundation.org/,(479) 464-1570,215 NW A St, Bentonville, AR 72712, USA,ChIJGeIbypkayYcReCsRUO1xEoQ
NINA MASON PULLIAM CHARITABLE TR,356644088,INDIANAPOLIS,IN,https://www.ninapulliamtrust.org/,(317) 231-6075,1 American Sq Ste 2650, Indianapolis, IN 46282, USA,ChIJa2zCEr5Qa4gROMocn5-n5SQ
SHANAHAN FAMILY CHARITABLEFOUNDATION,207267377,PASADENA,CA,https://donnashanahantherapist.com/,(626) 639-2812,595 E Colorado Blvd Suite 607 Suite 607, Pasadena, CA 91101, USA,ChIJAf0de2jDwoARSyVazxuIgAQ
THE LOZIER FOUNDATION,943027928,OMAHA,NE,https://lozierfoundation.org/,(402) 457-8400,1299 Farnam St Ste 1450, Omaha, NE 68102, USA,ChIJfcGVFKKPk4cRvx5XVS_k3ow
VISA FOUNDATION,814503596,SAN FRANCISCO,CA,https://usa.visa.com/about-visa.html,(650) 432-3200,One Market Plaza, Ste 600, San Francisco, CA 94105, USA,ChIJ_1uVp2aAhYARTk6_3wvyYcM
MCCONNELL FOUNDATION,946102700,REDDING,CA,http://www.mcconnellfoundation.org/,(530) 226-6200,800 Shasta View Dr, Redding, CA 96003, USA,ChIJC93-jxmT0lQRimXUEe7jZe4
CARMEL HILL FUND,136881103,NEW YORK,NY,https://carmelhill.org/,(347) 719-0755,1 E 53rd St 3rd Floor, New York, NY 10022, USA,ChIJqz0nwTxZwokRuKZZIr5eJU8
TERRY FOUNDATION,311551093,HOUSTON,TX,https://terryfoundation.org/,(800) 675-2414,3336 Richmond Ave Ste 450, Houston, TX 77098, USA,ChIJb_e93OLAQIYROjYxa-4LN2E
LIBRA FOUNDATION,364812310,SAN FRANCISCO,CA,https://librafoundation.org/,(207) 879-6280,190 Middle St #601, Portland, ME 04101, USA,ChIJA3jQZhWcskwReaIDQnxLiak
O WAYNE ROLLINS FOUNDATION,586066677,ATLANTA,GA,,(404) 486-4620,1908 Cliff Valley Way NE, Atlanta, GA 30329, USA,ChIJtzbjByUG9YgRc2HqEcofTeU
WILLARD AND PAT WALKER CHARITABLE FOUNDATION INC,200235689,FAYETTEVILLE,AR,http://www.walkerfoundation.org/,(479) 582-2310,315 W Mountain St, Fayetteville, AR 72701, USA,ChIJRWyZG6RvyYcRn4h_1CUNmRg
HEARST FOUNDATION INC,136161746,NEW YORK,NY,http://www.hearstfdn.org/,(212) 649-2000,300 W 57th St #26, New York, NY 10019, USA,ChIJf_YWclhYwokRP5wslXwdViw
VIRGINIA G PIPER CHARITABLE TRUST 08-11-95,866247076,PHOENIX,AZ,https://pipertrust.org/,(480) 948-5853,1202 E Missouri Ave, Phoenix, AZ 85014, USA,ChIJoXBTd6QSK4cRDWFWktWpR-M
JEFF AND MARIEKE ROTHSCHILD FOUNDATION,834574297,PALO ALTO,CA,http://paloaltocommfund.org/,(650) 690-0370,355 Alma St Ste 1, Palo Alto, CA 94303, USA,ChIJ72siLrC7j4ARlLRQQa57yLI
ARNHOLD FOUNDATION INC,133456684,NEW YORK,NY,https://www.tc.columbia.edu/arnhold-institute-for-dance-education-research/,(212) 678-3705,525 W 120th St, New York, NY 10027, USA,ChIJzXFqYdT3wokRf0QaQsoSOhw
NORTON SIMON ART FOUNDATION,956038921,PASADENA,CA,http://www.nortonsimonfoundation.org/,(626) 432-7740,385 E Colorado Blvd #240, Pasadena, CA 91101, USA,ChIJOY7_Nm_DwoARuvnA6LMcxtM
MT CUBA CENTER INC,516001265,HOCKESSIN,DE,http://www.mtcubacenter.org/,(302) 239-4244,3120 Barley Mill Rd, Hockessin, DE 19707, USA,ChIJn-pcWPH-xokRVSa_RAHFSPE
BARBARA BRUNCKHORST FOUNDATION,866502564,RICHMOND,VA,https://bcarterfdn.org/,(804) 521-0272,920 Libbie Avenue, Richmond, VA 23226, USA,ChIJyaB_fuEUsYkRURMG74yY0Z0
SATTERBERG FOUNDATION,911501066,SEATTLE,WA,http://satterberg.org/,(206) 441-3045,1904 3rd Ave #825, Seattle, WA 98101, USA,ChIJAUtHskwVkFQRLdmt-yBkTzI
GENENTECH PATIENT FOUNDATION,460500266,S SAN FRAN,CA,http://www.gene.com/,(650) 225-1000,350 DNA Way, South San Francisco, CA 94080, USA,ChIJXZMmkEN4j4ARMYLVWMLXSYc
GATES FAMILY FOUNDATION,840474837,DENVER,CO,http://www.gatesfamilyfoundation.org/,(303) 722-1881,1390 Lawrence St #400, Denver, CO 80204, USA,ChIJPQqZi894bIcRvXb_yNIVGsE
JOSEPH AND VERA ZILBER FAMILY,392076346,MILWAUKEE,WI,http://www.zilberfamilyfoundation.org/contact.html,(414) 274-2447,710 N Plankinton Ave #800, Milwaukee, WI 53203, USA,ChIJwy_Ug6AZBYgRs7wkj54c25w
WINDGATE CHARITABLE TRUST,710723781,LITTLE ROCK,AR,https://www.windgatefoundation.org/,(501) 868-6330,6323 Ranch Dr Ste B, Little Rock, AR 72223, USA,ChIJpenkkpiiyYcRcqzF2YWgofM
THE KEITH CAMPBELL FOUNDATION FOR THE ENVIRONMENT INC,522136842,BETHESDA,MD,http://www.campbellfoundation.org/,(410) 990-0900,410 Severn Ave Unit 210, Annapolis, MD 21403, USA,ChIJJwQ2xkb2t4kR-Jomc1_f8WQ
WILLIAM T GRANT FOUNDATION INC,131624021,NEW YORK,NY,http://wtgrantfoundation.org/,(212) 752-0071,60 E 42nd St 43rd floor, New York, NY 10165, USA,ChIJHX4-xvxYwokR2bRTDY2b960
CYNTHIA & GEO MITCHELL FOUNDATION,742170127,THE WOODLANDS,TX,,(512) 502-5182,1011 W 31st St, Austin, TX 78705, USA,ChIJw8VovKHKRIYRKxk3-4kqMis
NELDA C AND HJ LUTCHER STARK FOUNDATION,746047440,ORANGE,TX,http://www.starkfoundation.org/,(409) 883-3513,601 W Green Ave, Orange, TX 77630, USA,ChIJz5jioBsAPIYRpFKohinQr54
SKILLMAN FOUNDATION,381675780,DETROIT,MI,,(313) 446-1377,100 River Pl Dr #100, Detroit, MI 48207, USA,ChIJ6aE2j8osO4gRKv29GDJ8FjU
